"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Fri Mar 12 16:15:04 GMT 2021","Fri Mar 12 16:15:06 GMT 2021","1747","","test.backend.UserTest","","test.backend.UserTest","checkUserPositive","Positive -> Get users list",""
"broken","Fri Mar 12 16:15:06 GMT 2021","Fri Mar 12 16:15:06 GMT 2021","103","","test.backend.UserTest","","test.backend.UserTest","checkUserNegative","Negative -> Get users list",""
